trade_time,buy_coin,amount,dollar_user_value,price,live,twitter_id,twitter_screen_name,twitter_status_text,tweet_type,dollar_buy_value,bot_name,type,trade_timestamp,buy_timestamp,hold_coin,dollar_fee,hold_pnl,dollar_pnl,percent_pnl,status_id,exchange,platform
2021-10-26 09:53:59,FTM,15,50,3.4363,0,944686196331966464,HsakaTrades,"L1 2.0™ szn https://t.co/B09chLWlaE

@HsakaTrades: SOL --&gt; LUNA --&gt; AVAX SoLunAvax",,,,,,,,,,,,,,
FTM --&gt; ONE --&gt; NEAR --&gt; SCRT,,,,,,,,,,,,,,,,,,,,,,
FantOnEaRet,,,,,,,,,,,,,,,,,,,,,,
Intra basket rotations,,,,,,,,,,,,,,,,,,,,,,
Inter basket rotation,,,,,,,,,,,,,,,,,,,,,,
L1 1.0,,,,,,,,,,,,,,,,,,,,,,
L1 2.0,,,,,,,,,,,,,,,,,,,,,,
Haiku,,,,,,,,,,,,,,,,,,,,,,
"https://t.co/7J6mGHDShd""""",51.5445,lazy_trade_beta_bot,buy,1635242039118686,,USDT,0.0309267,,,,1452881890407378944,binance,1805839839,telegram,,,,,,,,
2021-10-26 09:35:31,MATIC,28.2,50,1.773,0,,,,,49.9986,lazy_trade_beta_bot,buy,1635240931914207,,USDT,0.0299992,,,,,binance,telegram
2021-10-26 08:16:58,XLM,2588,1000,0.38637,1,,,,,999.926,lazy_trade_beta_bot,buy,1635236218788930,,USDT,0.36047,,,,0.0,binance_f,telegram
2021-10-26 08:03:46,SRM,126,1000,7.943,1,,,,,1000.82,lazy_trade_beta_bot,buy,1635235426988743,,USDT,0.36067,,,,,binance_f,telegram
2021-10-26 08:03:40,RAY,100.4,1000,10.848,1,,,,,1000.84,lazy_trade_beta_bot,sell,1635235420424118,1634229128404859,USDT,0.392489,87.5509,87.5509,8.74456,0.0,binance_f,telegram
2021-10-25 22:31:05,XTZ,165.6,1000,6.594,1,,,,,999.763,lazy_trade_beta_bot,sell,1635201065338839,1632827602650481,USDT,0.819307,90.6351,90.6351,9.058769999999999,0.0,binance,telegram
2021-10-25 22:30:26,MINA,209.7,1000,4.76945,1,146008010,CryptoMichNL,"Let's go $MINA.
https://t.co/LVjKcZ3EfK",Original,1000.15,lazy_trade_beta_bot,buy,1635201026689149,,USDT,0.750873,,,,1.4527644076169708e+18,binance,telegram
2021-10-25 20:28:57,ONE,144.3,50,0.34655,0,944686196331966464,HsakaTrades,"One flipped, few remaining.

$ONE https://t.co/zl1XxTkRAu https://t.co/b8tMQkdijp

@HsakaTrades: https://t.co/xNEMKxMtTK""""",Quoted,50.0072,lazy_trade_beta_bot,buy,1635193737724834,,USDT,0.0300043,,,,1.4527227670364365e+18,binance,telegram
2021-10-25 19:47:39,BNB,0.103,50,483.3,0,,,,,49.852,lazy_trade_beta_bot,sell,1635191259715290,1635191173532296,USDT,0.0298679,-0.146824,-0.146824,-0.216117,1.4527205725221724e+18,binance,telegram
2021-10-25 19:46:13,BNB,0.103,50,484,0,877807935493033984,binance,"@binance: <i>🎃 TRICK or… $500 in $BNB 🎃

It’s time to get spooky! Post an original #Binance-themed Halloween photo for the chance to win some #BNB.

Rules:
👻 Retweet
👻 Follow @Binance
👻 Post your creation with #BOOnance

Bonus points for creativity 📸

Inspiration &amp; prize info below!
https://t.co/DY0wwBMPns</i>",Retweeted,49.852,lazy_trade_beta_bot,buy,1635191173532296,,USDT,0.0299112,,,,1.4527205725221724e+18,binance,telegram
